球隊,年度,球隊勝率,球隊防禦率<每9局被得多少分>,球隊打擊:球隊打擊率,球隊打擊:球隊上壘率,球隊打擊:球隊長打率,球隊打擊:球隊攻擊指數
紐約洋基,2016,0.52,4.16,0.252,0.314,0.405,0.719
明尼蘇達雙城 ,2016,0.36,5.09,0.251,0.316,0.421,0.737
堪薩斯市皇家,2016,0.5,4.21,0.261,0.312,0.400,0.712
底特律老虎,2016,0.53,4.24,0.267,0.331,0.438,0.769
克里夫蘭印地安人,2016,0.58,3.86,0.262,0.329,0.430,0.759
芝加哥白襪,2016,0.48,4.12,0.257,0.317,0.410,0.727
舊金山巨人,2016,0.54,3.69,0.258,0.329,0.398,0.727
波士頓紅襪,2016,0.57,4,0.282,0.348,0.461,0.809
聖地牙哥教士,2016,0.42,4.44,0.235,0.299,0.390,0.689
聖路易紅雀,2016,0.53,4.08,0.255,0.325,0.443,0.768
匹茲堡海盜,2016,0.48,4.22,0.257,0.332,0.402,0.734
費城費城人,2016,0.44,4.64,0.240,0.301,0.385,0.686
紐約大都會,2016,0.54,3.58,0.246,0.316,0.417,0.733
華盛頓國民,2016,0.59,3.52,0.256,0.325,0.426,0.751
密爾瓦基釀酒人,2016,0.45,4.1,0.244,0.322,0.407,0.729
洛杉磯道奇,2016,0.56,3.7,0.249,0.319,0.409,0.728
休士頓太空人,2016,0.52,4.06,0.247,0.319,0.417,0.736
邁阿密馬林魚,2016,0.49,4.05,0.263,0.322,0.394,0.716
巴爾的摩金鶯,2016,0.55,4.22,0.256,0.317,0.443,0.760
科羅拉多落磯,2016,0.46,4.92,0.275,0.336,0.457,0.793
辛辛那提紅人,2016,0.42,4.91,0.256,0.316,0.408,0.724
芝加哥小熊,2016,0.64,3.15,0.256,0.343,0.429,0.772
亞特蘭大勇士,2016,0.42,4.51,0.255,0.321,0.384,0.705
亞利桑那響尾蛇,2016,0.43,5.09,0.261,0.320,0.432,0.752
多倫多藍鳥,2016,0.55,3.79,0.248,0.330,0.426,0.756
德州遊騎兵,2016,0.59,4.38,0.262,0.322,0.433,0.755
坦帕灣光芒,2016,0.42,4.2,0.243,0.307,0.426,0.733
西雅圖水手,2016,0.53,4,0.259,0.326,0.430,0.756
奧克蘭運動家,2016,0.43,4.51,0.246,0.304,0.395,0.699
洛杉磯安那罕天使,2016,0.46,4.28,0.260,0.322,0.405,0.727
紐約洋基,2015,0.54,4.03,0.251,0.323,0.421,0.744
明尼蘇達雙城 ,2015,0.51,4.07,0.247,0.305,0.399,0.704
堪薩斯市皇家,2015,0.59,3.74,0.269,0.322,0.412,0.734
底特律老虎,2015,0.46,4.64,0.270,0.328,0.420,0.748
克里夫蘭印地安人,2015,0.5,3.68,0.256,0.325,0.401,0.726
芝加哥白襪,2015,0.47,3.98,0.250,0.306,0.380,0.686
舊金山巨人,2015,0.52,3.73,0.267,0.326,0.406,0.732
波士頓紅襪,2015,0.48,4.34,0.265,0.325,0.415,0.740
聖地牙哥教士,2015,0.46,4.09,0.243,0.300,0.385,0.685
聖路易紅雀,2015,0.62,2.94,0.253,0.321,0.394,0.715
匹茲堡海盜,2015,0.6,3.23,0.260,0.323,0.396,0.719
費城費城人,2015,0.39,4.69,0.249,0.303,0.382,0.685
紐約大都會,2015,0.56,3.45,0.244,0.312,0.400,0.712
華盛頓國民,2015,0.51,3.62,0.251,0.321,0.403,0.724
密爾瓦基釀酒人,2015,0.42,4.28,0.251,0.307,0.393,0.700
洛杉磯道奇,2015,0.57,3.46,0.250,0.326,0.413,0.739
休士頓太空人,2015,0.53,3.57,0.250,0.315,0.437,0.752
邁阿密馬林魚,2015,0.44,4.04,0.260,0.310,0.384,0.694
巴爾的摩金鶯,2015,0.5,4.05,0.250,0.307,0.421,0.728
科羅拉多落磯,2015,0.42,5.04,0.265,0.315,0.432,0.747
辛辛那提紅人,2015,0.4,4.35,0.248,0.312,0.394,0.706
芝加哥小熊,2015,0.6,3.36,0.244,0.321,0.398,0.719
亞特蘭大勇士,2015,0.41,4.41,0.251,0.314,0.359,0.673
亞利桑那響尾蛇,2015,0.49,4.05,0.264,0.324,0.414,0.738
多倫多藍鳥,2015,0.57,3.81,0.269,0.340,0.457,0.797
德州遊騎兵,2015,0.54,4.25,0.257,0.325,0.413,0.738
坦帕灣光芒,2015,0.49,3.74,0.252,0.314,0.406,0.720
西雅圖水手,2015,0.47,4.16,0.249,0.311,0.411,0.722
奧克蘭運動家,2015,0.42,4.16,0.251,0.312,0.395,0.707
洛杉磯安那罕天使,2015,0.52,3.94,0.246,0.307,0.396,0.703
紐約洋基,2014,0.52,3.75,0.245,0.307,0.380,0.687
明尼蘇達雙城 ,2014,0.43,4.58,0.254,0.324,0.389,0.713
堪薩斯市皇家,2014,0.55,3.51,0.263,0.314,0.376,0.690
底特律老虎,2014,0.56,4.01,0.277,0.331,0.426,0.757
克里夫蘭印地安人,2014,0.52,3.57,0.253,0.317,0.389,0.706
