年度/地區,火災發生次數,死亡人數,火災受傷人數,火災財物損失,火災平均財損,消防人員數,義消人員數,消防車輛數,消防栓總數,停車位數,年度,地區
2003/新北市,877,43,181,901797,1028.27,883,2916,229,12961,1198.04,2003,新北市
2003/臺北市,541,16,42,44457,82.18,1480,1391,208,16129,2072.62,2003,臺北市
2003/桃園市,576,14,83,485572,843.01,635,1387,157,7611,350.08,2003,桃園市
2003/臺中市,531,46,116,123933,233.4,712,1787,184,13373,914.81,2003,臺中市
2003/臺南市,604,15,49,100854,166.98,676,3374,151,11447,656.72,2003,臺南市
2003/高雄市,680,18,75,57500,84.56,1067,3513,258,12159,1177.42,2003,高雄市
2003/宜蘭縣,531,10,21,21012,39.57,142,915,40,3994,336.96,2003,宜蘭縣
2003/新竹縣,1168,3,12,14042,12.02,218,725,60,2410,457.59,2003,新竹縣
2003/苗栗縣,115,9,28,41867,364.06,214,661,76,3036,526.53,2003,苗栗縣
2003/彰化縣,237,11,30,92830,391.69,404,2711,98,5768,289.08,2003,彰化縣
2003/南投縣,492,3,13,39598,80.48,272,1110,66,2256,480.81,2003,南投縣
2003/雲林縣,364,6,19,39750,109.2,283,1049,71,4209,193.59,2003,雲林縣
2003/嘉義縣,124,9,49,49944,402.77,344,1363,50,2465,574.09,2003,嘉義縣
2003/屏東縣,444,6,11,18201,40.99,303,1503,82,3829,603.61,2003,屏東縣
2003/臺東縣,375,3,#N/A,5141,13.71,150,737,36,1759,923.24,2003,臺東縣
2003/花蓮縣,100,6,3,40482,404.82,132,1052,58,2706,1035.91,2003,花蓮縣
2003/澎湖縣,41,#N/A,4,2913,71.05,160,263,21,719,2339.16,2003,澎湖縣
2003/基隆市,208,#N/A,15,8945,43,186,1043,41,1505,720.99,2003,基隆市
2003/新竹市,74,2,4,15346,207.38,179,787,37,1039,827.9,2003,新竹市
2003/嘉義市,347,3,11,13118,37.8,187,555,33,1437,666.16,2003,嘉義市
2003/金門縣,124,1,#N/A,331,2.67,55,220,18,113,#N/A,2003,金門縣
2003/連江縣,39,4,#N/A,7751,198.74,15,192,13,98,#N/A,2003,連江縣
2004/新北市,1032,33,125,1026941,995.1,901,3034,244,14176,1301.79,2004,新北市
2004/臺北市,552,10,33,34779,63.01,1481,1494,209,16386,2132.91,2004,臺北市
2004/桃園市,388,11,51,217897,561.59,671,1432,162,8091,508.93,2004,桃園市
2004/臺中市,196,18,78,52097,265.8,720,2295,176,13746,789.88,2004,臺中市
2004/臺南市,436,13,28,67379,154.54,687,3492,161,11733,721.07,2004,臺南市
2004/高雄市,478,7,42,33801,70.71,1088,3171,255,12563,1199.62,2004,高雄市
2004/宜蘭縣,332,6,10,11088,33.4,144,879,40,4168,329.63,2004,宜蘭縣
2004/新竹縣,412,6,22,18576,45.09,239,722,50,2456,496.82,2004,新竹縣
2004/苗栗縣,80,5,12,14320,179,217,667,59,3089,570.09,2004,苗栗縣
2004/彰化縣,210,7,49,76488,364.23,402,2759,105,5870,522.85,2004,彰化縣
2004/南投縣,545,6,14,60670,111.32,277,1153,72,2274,888.78,2004,南投縣
2004/雲林縣,171,8,9,22813,133.41,305,1062,58,4298,184.19,2004,雲林縣
2004/嘉義縣,94,9,20,38601,410.65,350,1432,55,2788,546.49,2004,嘉義縣
2004/屏東縣,315,4,10,17597,55.86,321,1529,90,4008,517.04,2004,屏東縣
2004/臺東縣,390,2,2,6692,17.16,150,767,29,1754,683.31,2004,臺東縣
2004/花蓮縣,77,3,1,61085,793.31,137,1060,62,2781,508.34,2004,花蓮縣
2004/澎湖縣,92,1,3,4941,53.71,159,262,24,745,5554.51,2004,澎湖縣
2004/基隆市,157,10,22,3902,24.85,185,1058,46,1522,748.19,2004,基隆市
2004/新竹市,89,1,4,12677,142.44,181,783,38,1148,901.29,2004,新竹市
2004/嘉義市,358,#N/A,13,5507,15.38,192,540,34,1504,679.06,2004,嘉義市
2004/金門縣,29,#N/A,2,258387,8909.9,54,243,18,141,#N/A,2004,金門縣
2004/連江縣,39,#N/A,#N/A,175,4.49,21,184,16,80,#N/A,2004,連江縣
2005/新北市,966,24,131,959058,992.81,923,2839,254,14313,1346.81,2005,新北市
2005/臺北市,421,5,17,23771,56.46,1467,1463,242,16787,2160.18,2005,臺北市
2005/桃園市,390,11,70,1085310,2782.85,678,1521,157,8412,506.25,2005,桃園市
2005/臺中市,254,32,95,95160,374.65,744,2442,179,14070,770.46,2005,臺中市
2005/臺南市,406,8,30,67191,165.5,714,3474,154,11863,698.33,2005,臺南市
2005/高雄市,441,8,20,61647,139.79,1108,3230,253,12993,1211.02,2005,高雄市
2005/宜蘭縣,286,1,7,13955,48.79,156,893,40,4162,452.72,2005,宜蘭縣
2005/新竹縣,124,8,22,12163,98.09,257,726,52,2583,498.77,2005,新竹縣
2005/苗栗縣,49,6,8,16955,346.02,226,710,52,3254,554.31,2005,苗栗縣
2005/彰化縣,187,4,27,75614,404.35,414,2768,93,5977,507.35,2005,彰化縣
2005/南投縣,368,2,21,35564,96.64,283,1141,76,2326,867.2,2005,南投縣
2005/雲林縣,162,4,22,16489,101.78,312,1050,62,4331,186.74,2005,雲林縣
2005/嘉義縣,73,1,5,14300,195.89,349,1474,53,3042,608.87,2005,嘉義縣
2005/屏東縣,126,3,7,10564,83.84,318,1514,93,4135,555.97,2005,屏東縣
2005/臺東縣,226,2,2,3993,17.67,146,717,33,1854,649.07,2005,臺東縣
2005/花蓮縣,73,8,14,18452,252.77,142,1027,55,2986,531.16,2005,花蓮縣
2005/澎湖縣,64,#N/A,5,6970,108.91,156,272,23,759,5454.26,2005,澎湖縣
2005/基隆市,155,7,15,6685,43.13,179,1134,46,1520,905.35,2005,基隆市
2005/新竹市,70,1,4,6915,98.79,185,749,36,1250,1062.87,2005,新竹市
2005/嘉義市,102,4,10,6525,63.97,196,528,34,1564,786.3,2005,嘉義市
2005/金門縣,24,#N/A,#N/A,3975,165.62,56,252,21,144,#N/A,2005,金門縣
2005/連江縣,28,#N/A,#N/A,1040,37.14,21,197,14,84,#N/A,2005,連江縣
2006/新北市,785,17,112,711154,905.93,1105,3181,282,14503,1442.65,2006,新北市
2006/臺北市,360,2,19,22309,61.97,1484,1507,239,17076,2262.64,2006,臺北市
2006/桃園市,355,22,56,302153,851.14,768,1573,160,8879,452.55,2006,桃園市
2006/臺中市,215,21,69,67645,314.63,820,2161,182,14170,798.55,2006,臺中市
2006/臺南市,279,5,19,42674,152.95,729,3560,165,11982,734.93,2006,臺南市
2006/高雄市,362,11,53,43063,118.96,1155,3143,244,13431,1202.39,2006,高雄市
2006/宜蘭縣,278,3,15,18363,66.05,180,830,40,4417,442.18,2006,宜蘭縣
2006/新竹縣,116,2,13,17517,151.01,273,707,52,2333,488.9,2006,新竹縣
2006/苗栗縣,43,2,7,13352,310.51,230,796,51,3338,491.1,2006,苗栗縣
2006/彰化縣,177,7,21,56576,319.64,430,2786,88,6266,488.13,2006,彰化縣
2006/南投縣,312,5,11,61962,198.6,318,1199,81,2395,854.94,2006,南投縣
2006/雲林縣,126,3,13,38872,308.51,326,1060,61,4409,209.27,2006,雲林縣
2006/嘉義縣,59,2,7,23974,406.34,352,1469,57,3098,663.57,2006,嘉義縣
2006/屏東縣,89,2,3,13091,147.09,328,1599,97,4183,540.85,2006,屏東縣
2006/臺東縣,212,4,#N/A,3496,16.49,151,804,40,1899,332.09,2006,臺東縣
2006/花蓮縣,51,5,5,35220,690.59,149,929,50,3142,739.32,2006,花蓮縣
2006/澎湖縣,86,1,5,1701,19.78,158,269,22,757,5102.32,2006,澎湖縣
2006/基隆市,127,4,9,6043,47.58,193,1106,46,1521,842.46,2006,基隆市
2006/新竹市,73,4,14,54498,746.55,199,824,37,1328,1223.47,2006,新竹市
2006/嘉義市,58,3,19,4562,78.66,198,534,35,1576,961.8,2006,嘉義市
2006/金門縣,21,#N/A,#N/A,2685,127.86,68,260,21,167,#N/A,2006,金門縣
2006/連江縣,34,#N/A,#N/A,1150,33.82,24,187,12,91,#N/A,2006,連江縣
2007/新北市,426,15,58,444745,1044,1159,3361,283,14777,1395.34,2007,新北市
2007/臺北市,309,4,9,17894,57.91,1514,1430,262,17357,2402.48,2007,臺北市
2007/桃園市,375,12,74,279482,745.29,859,1540,157,9431,423.73,2007,桃園市
2007/臺中市,227,22,55,53360,235.07,891,1889,188,14344,892.04,2007,臺中市
2007/臺南市,234,5,30,29650,126.71,772,3644,165,12264,762.48,2007,臺南市
2007/高雄市,246,14,39,29386,119.46,1191,3850,247,13838,1223.87,2007,高雄市
2007/宜蘭縣,134,3,17,25512,190.39,202,886,40,4398,448.1,2007,宜蘭縣
2007/新竹縣,97,#N/A,7,34399,354.63,300,726,56,2800,514.83,2007,新竹縣
2007/苗栗縣,41,7,15,78850,1923.17,239,713,49,3456,379.48,2007,苗栗縣
2007/彰化縣,140,10,27,29723,212.31,453,2772,112,6434,416.85,2007,彰化縣
2007/南投縣,240,4,10,123359,514,329,1205,88,2404,602.61,2007,南投縣
2007/雲林縣,92,2,14,14919,162.16,334,1065,62,4491,223.18,2007,雲林縣
2007/嘉義縣,55,5,10,10867,197.58,362,1422,56,3178,725.6,2007,嘉義縣
2007/屏東縣,86,8,6,10790,125.47,370,1611,88,4307,434.62,2007,屏東縣
2007/臺東縣,195,1,2,2095,10.74,155,770,46,1948,575.28,2007,臺東縣
2007/花蓮縣,36,3,5,10580,293.89,195,974,44,3210,807.69,2007,花蓮縣
2007/澎湖縣,50,1,3,5800,116,158,262,26,756,1045.81,2007,澎湖縣
2007/基隆市,74,3,9,5027,67.93,200,1093,41,1529,748.05,2007,基隆市
2007/新竹市,80,#N/A,4,8395,104.94,211,826,38,1364,1539.26,2007,新竹市
2007/嘉義市,41,#N/A,3,6159,150.22,203,542,35,1590,871.41,2007,嘉義市
2007/金門縣,17,1,#N/A,6875,404.41,70,237,21,180,#N/A,2007,金門縣
2007/連江縣,22,#N/A,#N/A,300,13.64,25,187,7,91,#N/A,2007,連江縣
2008/新北市,331,9,30,602689,1820.81,1298,2619,279,15254,2417.73,2008,新北市
2008/臺北市,309,3,15,15232,49.29,1540,1495,260,17548,2528.72,2008,臺北市
2008/桃園市,303,12,52,400949,1323.26,865,1541,165,9732,435.65,2008,桃園市
2008/臺中市,161,18,29,73959,459.37,943,2008,186,14649,1067.57,2008,臺中市
2008/臺南市,190,5,20,18337,96.51,812,3648,166,12186,772.43,2008,臺南市
2008/高雄市,208,14,38,21670,104.18,1209,4433,235,14460,1154.45,2008,高雄市
