代號,月份,價,量
1527,M1207,65.6,95.2
1527,M1208,61.0,95.2
1527,M1209,41.9,51.9
1527,M1210,22.2,7.1
1527,M1211,19.8,0.0
1527,M1212,25.3,26.0
1527,M1301,25.8,23.2
1527,M1302,19.6,28.1
1527,M1303,14.3,21.1
1527,M1304,27.0,23.7
1527,M1305,28.1,33.8
1527,M1306,29.9,31.9
1527,M1307,48.0,53.7
1527,M1308,72.5,72.6
1527,M1309,76.6,99.6
1527,M1310,67.7,94.6
1527,M1311,55.4,54.7
1527,M1312,41.9,45.2
1527,M1401,33.8,37.5
1527,M1402,18.0,13.7
1527,M1403,33.0,21.3
1527,M1404,42.3,47.0
1527,M1405,53.8,63.4
1527,M1406,61.5,74.3
1527,M1407,81.2,100.0
1527,M1408,63.0,49.6
1527,M1409,36.4,40.9
1527,M1410,24.9,0.0
1527,M1411,25.9,23.4
1527,M1412,44.6,44.2
1527,M1501,54.6,71.7
1527,M1502,53.9,74.3
1527,M1503,69.2,82.2
1527,M1504,82.4,100.0
1527,M1505,35.7,41.3
1527,M1506,25.6,38.3
1527,M1507,14.8,9.7
1527,M1508,14.9,0.0
1527,M1509,31.0,24.4
1527,M1510,51.7,44.9
1527,M1511,65.3,57.3
1527,M1512,66.0,66.8
1527,M1601,45.2,62.5
1527,M1602,47.4,51.0
1527,M1603,39.8,48.5
1527,M1604,35.1,42.8
1527,M1605,22.8,26.0
1527,M1606,39.8,29.7
1527,M1607,63.1,84.8
1527,M1608,79.5,100.0
1527,M1609,76.4,94.1
1527,M1610,46.6,47.2
1527,M1611,27.9,20.0
1527,M1612,39.8,24.2
1527,M1701,48.5,77.5
1527,M1702,47.4,61.5
1527,M1703,52.6,79.2
1527,M1704,58.8,67.2
1527,M1705,38.5,39.7
1527,M1706,48.0,69.0
1527,M1707,56.3,71.5
1527,M1708,65.7,64.0
1527,M1709,66.1,75.3
1527,M1710,72.2,89.5
1527,M1711,66.1,83.9
1527,M1712,45.6,39.3
1527,M1801,37.2,45.3
1527,M1802,27.0,28.9
1527,M1803,14.6,0.0
1527,M1804,19.9,6.9
1527,M1805,42.4,33.0
1541,M1207,28.8,54.3
1541,M1208,34.9,48.3
1541,M1209,34.1,69.5
1541,M1210,45.2,27.6
1541,M1211,16.3,0.0
1541,M1212,30.8,29.9
1541,M1301,43.3,35.6
1541,M1302,41.1,53.6
1541,M1303,28.9,30.4
1541,M1304,16.4,9.7
1541,M1305,24.2,13.1
1541,M1306,16.2,18.3
1541,M1307,17.6,24.1
1541,M1308,33.9,37.0
1541,M1309,33.3,62.6
1541,M1310,53.1,52.2
1541,M1311,41.2,49.6
1541,M1312,27.9,34.8
1541,M1401,31.6,34.4
1541,M1402,50.4,34.5
1541,M1403,53.7,71.9
1541,M1404,62.2,62.4
1541,M1405,77.4,100.0
1541,M1406,58.2,77.2
1541,M1407,56.0,82.8
1541,M1408,55.1,79.6
1541,M1409,26.6,26.1
1541,M1410,28.3,0.0
1541,M1411,14.9,12.7
1541,M1412,12.3,10.9
1541,M1501,22.4,28.9
1541,M1502,26.6,32.8
1541,M1503,24.3,35.9
1541,M1504,20.7,36.7
1541,M1505,17.7,17.9
1541,M1506,14.0,14.3
1541,M1507,5.6,4.4
1541,M1508,15.1,4.5
1541,M1509,44.4,39.1
1541,M1510,70.8,86.9
1541,M1511,79.7,83.8
1541,M1512,51.7,51.9
1541,M1601,51.0,48.3
1541,M1602,69.7,74.7
1541,M1603,62.8,72.6
1541,M1604,71.2,80.4
1541,M1605,50.1,46.7
1541,M1606,73.8,74.2
1541,M1607,87.4,100.0
1541,M1608,61.7,57.7
1541,M1609,54.7,57.7
1541,M1610,25.4,15.4
1541,M1611,8.2,0.0
1541,M1612,25.3,17.4
1541,M1701,53.3,57.7
1541,M1702,64.5,91.3
1541,M1703,78.0,100.0
1541,M1704,56.8,85.1
1541,M1705,49.8,67.1
1541,M1706,30.1,37.1
1541,M1707,31.6,32.9
1541,M1708,32.3,39.2
1541,M1709,26.3,24.0
1541,M1710,29.0,26.3
1541,M1711,57.4,62.0
1541,M1712,57.0,70.0
1541,M1801,57.0,66.8
1541,M1802,41.5,41.5
1541,M1803,61.8,65.4
1541,M1804,35.5,22.3
1541,M1805,40.2,45.3
2408,M1207,30.9,39.2
2408,M1208,22.5,33.1
2408,M1209,18.2,23.5
2408,M1210,12.7,9.8
2408,M1211,3.4,0.0
2408,M1212,17.0,0.5
2408,M1301,29.2,29.8
2408,M1302,29.5,33.8
2408,M1303,41.3,38.2
2408,M1304,73.6,59.2
2408,M1305,86.3,93.0
2408,M1306,88.5,100.0
2408,M1307,58.9,36.9
2408,M1308,30.8,29.6
2408,M1309,36.4,28.7
2408,M1310,31.2,26.0
2408,M1311,24.6,18.5
2408,M1312,7.7,6.5
2408,M1401,28.1,18.4
2408,M1402,26.3,21.7
2408,M1403,10.1,0.0
2408,M1404,1.4,1.0
2408,M1405,4.0,2.7
2408,M1406,5.8,5.5
2408,M1407,6.0,6.5
2408,M1408,4.8,5.2
2408,M1409,76.2,75.4
2408,M1410,63.2,59.9
2408,M1411,79.1,79.6
2408,M1412,83.5,89.4
2408,M1501,88.6,92.6
2408,M1502,85.8,98.4
2408,M1503,81.3,100.0
2408,M1504,72.1,79.5
2408,M1505,56.7,60.4
2408,M1506,48.4,44.4
2408,M1507,18.4,0.0
2408,M1508,12.0,1.8
2408,M1509,19.3,11.1
2408,M1510,17.2,15.3
2408,M1511,21.6,18.8
2408,M1512,44.6,29.6
2408,M1601,41.5,88.3
2408,M1602,29.5,77.4
2408,M1603,28.5,100.0
2408,M1604,14.8,42.7
2408,M1605,16.9,46.3
2408,M1606,11.1,0.0
2408,M1607,26.1,26.3
2408,M1608,13.3,11.3
2408,M1609,25.2,15.6
2408,M1610,34.5,36.3
2408,M1611,46.9,30.7
2408,M1612,62.7,66.3
2408,M1701,59.3,64.2
2408,M1702,36.7,50.7
2408,M1703,34.8,30.6
2408,M1704,17.5,28.9
2408,M1705,25.0,24.0
2408,M1706,19.8,19.3
2408,M1707,33.9,26.3
2408,M1708,40.0,42.6
2408,M1709,66.6,49.1
2408,M1710,75.5,100.0
2408,M1711,68.4,72.1
2408,M1712,43.3,48.6
2408,M1801,50.8,63.3
2408,M1802,33.3,30.1
2408,M1803,57.8,55.9
2408,M1804,71.3,94.0
2408,M1805,85.4,100.0
2707,M1207,17.5,0.0
2707,M1208,29.5,36.4
2707,M1209,31.9,24.0
2707,M1210,42.1,27.9
2707,M1211,39.4,39.9
2707,M1212,81.3,88.8
2707,M1301,82.5,93.3
2707,M1302,60.6,100.0
2707,M1303,45.3,40.9
2707,M1304,22.3,9.1
2707,M1305,29.9,27.1
2707,M1306,44.8,72.0
2707,M1307,73.7,91.0
2707,M1308,51.0,24.0
2707,M1309,32.6,42.9
2707,M1310,34.4,41.8
2707,M1311,25.3,15.9
2707,M1312,17.3,20.9
2707,M1401,19.9,32.8
2707,M1402,18.9,14.9
2707,M1403,49.0,36.2
2707,M1404,76.4,86.6
2707,M1405,73.7,93.6
2707,M1406,78.3,92.7
2707,M1407,85.2,100.0
2707,M1408,59.2,46.8
2707,M1409,38.8,38.5
2707,M1410,17.8,0.0
2707,M1411,26.0,7.3
2707,M1412,41.7,33.8
2707,M1501,61.3,64.6
2707,M1502,71.3,92.0
2707,M1503,94.1,99.6
2707,M1504,93.4,100.0
2707,M1505,81.4,74.0
2707,M1506,57.2,46.3
2707,M1507,39.2,25.6
2707,M1508,19.1,0.0
2707,M1509,22.1,16.8
2707,M1510,23.6,17.2
2707,M1511,30.5,37.4
2707,M1512,36.6,55.3
2707,M1601,47.7,80.0
2707,M1602,59.1,76.5
2707,M1603,46.6,29.8
2707,M1604,25.0,18.1
2707,M1605,27.6,23.4
2707,M1606,25.9,19.4
2707,M1607,30.3,27.5
2707,M1608,29.7,20.4
2707,M1609,31.2,51.0
2707,M1610,56.0,67.2
2707,M1611,45.8,50.0
2707,M1612,42.0,52.8
2707,M1701,36.0,43.4
2707,M1702,47.0,45.7
2707,M1703,39.4,13.2
2707,M1704,19.0,14.0
2707,M1705,23.1,20.5
2707,M1706,42.0,27.8
2707,M1707,45.0,38.7
2707,M1708,15.0,3.4
2707,M1709,21.3,53.8
2707,M1710,22.9,21.4
2707,M1711,11.4,14.3
2707,M1712,32.9,35.7
2707,M1801,35.7,64.3
2707,M1802,56.8,65.2
2707,M1803,73.9,70.0
2707,M1804,72.1,84.2
2707,M1805,73.8,87.2
2915,M1207,32.5,22.4
2915,M1208,45.5,46.6
2915,M1209,61.2,53.7
2915,M1210,78.8,77.6
2915,M1211,71.0,70.5
2915,M1212,78.0,82.6
2915,M1301,89.1,100.0
2915,M1302,83.6,97.3
2915,M1303,67.5,73.8
2915,M1304,31.1,29.8
2915,M1305,46.2,62.8
2915,M1306,20.1,0.0
2915,M1307,25.8,21.5
