地區,顏色,面積
花蓮縣,#8e8795,4628.5714 	
南投縣,#054fc7,4106.4360 	
臺東縣,#d181ea,3515.2526 	
高雄市,#31bcda,2951.8524 	
屏東縣,#ebda08,2775.6003 	
臺中市,#0eb7cf,2214.8968 	
臺南市,#a260ba,2191.6531 	
宜蘭縣,#a87ff8,2143.6251 	
新北市,#da17ad,2052.5667 	
嘉義縣,#2a83d7,1903.6367 	
苗栗縣,#0130a8,1820.3149 	
新竹縣,#faef2c,1427.5369 	
雲林縣,#78d707,1290.8326 	
桃園市,#561d8e,1220.9540 	
彰化縣,#fdd288,1074.3960 	
臺北市,#469dd8,271.7997 	
金門縣,#ee88ca,151.6560 	
基隆市,#f36922,132.7589 	
澎湖縣,#a898bc,126.8641 	
新竹市,#e62b1a,104.1526 	
嘉義市,#a35485,60.0256 	
連江縣,#5964f6,28.8000
